DATE	AVG	MAX	MIN
19730101	48.1	55.0	42.1
19730102	38.8	42.1	36.0
19730103	46.2	64.9	37.0
19730104	48.6	62.1	39.9
19730105	46.0	51.1	44.1
19730106	38.7	45.0	36.0
19730107	36.6	39.0	35.1
19730108	34.1	37.0	30.9
19730109	27.1	30.9	26.1
19730110	25.7	30.0	23.0
19730111	27.9	30.0	25.0
19730112	26.7	37.0	19.0
19730113	34.7	54.0	24.1
19730114	46.5	64.9	33.1
19730115	51.2	69.1	36.0
19730116	54.9	66.9	48.0
19730117	63.4	73.9	59.0
19730118	67.4	75.0	61.0
19730119	56.9	75.9	41.9
19730120	65.0	75.9	59.0
19730121	55.8	70.0	48.0
19730122	49.9	64.0	36.0
19730123	47.6	59.0	41.0
19730124	43.7	51.1	37.9
19730125	42.6	48.0	41.0
19730126	44.3	57.9	39.0
19730127	53.2	66.0	44.1
19730128	44.3	59.0	36.0
19730129	36.7	53.1	24.1
19730130	46.1	62.1	32.0
19730131	58.0	72.0	51.1
19730201	57.2	66.0	43.0
19730202	52.0	64.9	39.0
19730203	50.9	66.9	39.0
19730204	59.0	75.0	46.9
19730205	62.7	73.0	53.1
19730206	62.8	71.1	57.9
19730207	64.6	71.1	59.0
19730208	41.8	69.1	28.9
19730209	30.7	39.0	28.0
19730210	33.4	46.0	24.1
19730211	40.0	55.0	28.9
19730212	55.1	64.9	48.9
19730213	63.4	73.9	57.0
19730214	50.2	70.0	42.1
19730215	45.0	55.0	36.0
19730216	41.8	53.1	35.1
19730217	39.6	46.9	34.0
19730218	38.9	46.0	36.0
19730219	47.4	60.1	42.1
19730220	51.1	57.9	45.0
19730221	46.7	52.0	43.0
19730222	45.4	48.0	44.1
19730223	46.3	51.1	43.0
19730224	46.6	62.1	36.0
19730225	54.6	71.1	44.1
19730226	60.3	69.1	55.0
19730227	53.4	64.0	46.9
19730228	55.4	66.0	48.0
19730301	63.4	77.0	59.0
19730302	61.6	75.9	45.0
19730303	62.2	73.0	53.1
19730304	62.2	70.0	48.9
19730305	60.1	70.0	52.0
19730306	68.0	77.0	59.0
19730307	63.1	80.1	46.9
19730308	63.9	77.0	54.0
19730309	65.8	75.0	64.0
19730310	68.5	77.0	59.0
19730311	65.5	81.0	48.0
19730312	65.8	82.9	51.1
19730313	70.9	75.9	68.0
19730314	68.1	80.1	57.0
19730315	66.0	75.9	62.1
19730316	56.9	66.0	48.0
19730317	55.7	73.0	41.0
19730318	60.4	75.0	46.0
19730319	67.1	79.0	62.1
19730320	62.1	75.0	53.1
19730321	58.4	69.1	46.9
19730322	58.8	68.0	53.1
19730323	64.0	66.9	62.1
19730324	66.1	73.9	61.0
19730325	60.9	71.1	53.1
19730326	58.5	71.1	46.0
19730327	58.9	69.1	51.1
19730328	65.4	75.0	61.0
19730329	66.9	79.0	60.1
19730330	66.4	75.0	60.1
19730331	63.8	79.0	48.2
19730401	61.6	75.9	48.0
19730402	62.5	78.1	48.9
19730403	61.6	75.9	53.1
19730404	54.3	64.9	45.0
19730405	54.1	64.0	42.1
19730406	52.8	63.0	50.0
19730407	52.9	66.0	46.0
19730408	51.6	63.0	44.1
19730409	46.6	60.1	35.1
19730410	48.1	60.1	36.0
19730411	53.2	66.0	44.1
19730412	61.8	72.0	55.9
19730413	66.8	75.0	61.0
19730414	66.5	72.0	63.0
19730415	65.9	70.0	62.1
19730416	65.5	70.0	60.1
19730417	61.5	71.1	55.9
19730418	63.2	78.1	51.1
19730419	74.4	84.9	68.0
19730420	76.4	82.9	72.0
19730421	73.3	80.1	71.1
19730422	71.3	73.4	69.1
19730423	71.7	75.9	70.0
19730424	72.5	77.0	69.8
19730425	72.3	80.1	66.0
19730426	66.1	80.6	57.0
19730427	59.1	69.1	48.0
19730428	61.3	75.0	48.9
19730429	66.0	73.9	57.9
19730430	70.3	73.9	66.9
19730501	73.3	77.0	72.0
19730502	69.3	73.9	63.0
19730503	64.2	73.9	53.1
19730504	63.6	75.9	48.0
19730505	63.7	73.9	55.0
19730506	71.5	78.1	69.1
19730507	71.2	82.0	59.0
19730508	72.1	86.0	57.9
19730509	75.0	89.1	63.0
19730510	73.6	89.6	62.6
19730511	77.6	87.1	72.0
19730512	72.7	82.9	66.9
19730513	67.2	75.9	61.0
19730514	65.7	75.0	61.0
19730515	65.4	77.0	57.0
19730516	67.3	81.0	51.1
19730517	71.8	86.0	57.0
19730518	75.7	90.0	59.0
19730519	77.7	93.0	64.9
19730520	79.3	91.0	71.1
19730521	78.4	89.1	68.0
19730522	77.1	88.0	69.1
19730523	77.8	87.1	70.0
19730524	79.0	88.0	73.0
19730525	78.7	87.1	73.0
19730526	79.4	91.0	71.1
19730527	82.3	91.9	71.1
19730528	76.0	91.0	64.9
19730529	76.5	89.1	63.0
19730530	76.9	88.0	64.0
19730531	76.1	89.1	62.1
19730601	80.1	89.6	62.6
19730602	79.4	90.0	73.0
19730603	80.5	91.4	73.4
19730604	79.2	90.0	66.2
19730605	80.8	91.4	66.2
19730606	72.4	91.4	66.0
19730607	75.1	86.0	62.1
19730608	76.1	86.0	62.6
19730609	73.9	86.0	62.6
19730610	75.8	87.1	68.0
19730611	73.2	87.8	66.0
19730612	69.9	75.2	66.2
19730613	74.5	82.9	66.2
19730614	76.9	90.0	69.8
19730615	81.5	91.0	69.8
19730616	82.4	91.4	75.2
19730617	82.8	91.9	75.2
